full_text	text	tsv	levels
Utility Processor 0x1d00000000000000	Utility Proc 0	tsv/Proc_0x1d00000000000000.tsv	2
CPU Processor 0x1d00000000000001	CPU Proc 1	tsv/Proc_0x1d00000000000001.tsv	2
CPU Processor 0x1d00000000000002	CPU Proc 2	tsv/Proc_0x1d00000000000002.tsv	3
CPU Processor 0x1d00000000000003	CPU Proc 3	tsv/Proc_0x1d00000000000003.tsv	2
CPU Processor 0x1d00000000000004	CPU Proc 4	tsv/Proc_0x1d00000000000004.tsv	2
CPU Processor 0x1d00000000000005	CPU Proc 5	tsv/Proc_0x1d00000000000005.tsv	2
CPU Processor 0x1d00000000000006	CPU Proc 6	tsv/Proc_0x1d00000000000006.tsv	2
CPU Processor 0x1d00000000000007	CPU Proc 7	tsv/Proc_0x1d00000000000007.tsv	2
CPU Processor 0x1d00000000000008	CPU Proc 8	tsv/Proc_0x1d00000000000008.tsv	2
System Memory 0x1e00000000000000	System Memory 0	tsv/Mem_0x1e00000000000000.tsv	7
